A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
Q96P50	0	chr1	-	1227771	1243310	1229088,1229313,1229579,1230008,1230196,1230934,1231318,1231489,1231660,1232013,1233313,1233493,1233801,1234059,1234736,1235285,1235448,1235582,1236072,1237426,1238355,1238661,1239523	1229203,1229470,1229782,1230098,1230827,1231116,1231395,1231591,1231805,1233202,1233393,1233750,1233947,1234725,1235211,1235353,1235538,1235889,1237368,1238302,1238542,1239466,1243149
Q8N0Z8	0	chr1	+	1243977	1247057	1244100,1244352,1244653,1244983,1245231,1246068,1246451	1244295,1244466,1244834,1245061,1246014,1246289,1246710
Q5TA45	0	chr1	-	1246980	1260040	1247304,1247527,1247748,1247881,1248080,1248329,1248504,1248972,1249301,1249745,1250342,1250818,1250998,1254904,1255909,1256473	1247398,1247606,1247820,1247973,1248167,1248415,1248889,1249112,1249681,1250204,1250784,1250900,1254676,1255836,1256376,1259961
S4S694	0	chr1	+	1260182	1264276	1260482,1262412	1262216,1262621
Q7RTX0	0	chr1	+	1266660	1270694	1266916,1267318,1268186,1268504,1268759	1267018,1267404,1268301,1268639,1268886
O14640	0	chr1	-	1270658	1284798	1271895,1273563,1273816,1274033,1274819,1275029,1275192,1275557,1275696,1275883,1277185,1277536,1277864,1278138	1273357,1273649,1273902,1274667,1274962,1275116,1275418,1275627,1275790,1277047,1277433,1277743,1278069,1284276
Q9BRK3	0	chr1	-	1288071	1293935	1289009,1289308,1289486,1289612,1289889,1290532,1290725,1291132,1292084	1289228,1289410,1289573,1289734,1290062,1290624,1290830,1292061,1293836
Q9NWT8	0	chr1	-	1309116	1310587	1309282,1309825,1310170	1309380,1310085,1310534
Q96S94	0	chr1	-	1321091	1334715	1322962,1323249,1323445,1325751,1325943,1326245,1328840,1330894,1333722,1334051	1323157,1323334,1325610,1325839,1326146,1328776,1330774,1333613,1333977,1334399
Q9BYC9	0	chr1	-	1337289	1342673	1337636,1341266,1342399	1341189,1342289,1342511
E5RJM6	0	chr1	-	1353800	1356656	1354929,1355972,1356385	1355432,1356177,1356513
A6NKF7	0	chr1	+	1361251	1365635	1361765	1362934
Q6PCB0	0	chr1	+	1371070	1378262	1371201,1372864	1372307,1374461
Q5T2N8	0	chr1	+	1385069	1405543	1386138,1387502,1387814,1389880,1390899,1391296,1391729,1392560,1394611,1396297,1398088	1387426,1387745,1389725,1390840,1391171,1391605,1392509,1394541,1396130,1397980,1403764
Q5T9A4	0	chr1	+	1407145	1433228	1407469,1412730,1414125,1414488,1416316,1417683,1417994,1420551,1421218,1421615,1422048,1423294,1424654,1425804,1426051	1412654,1414024,1414429,1416247,1417518,1417925,1420396,1421162,1421490,1421924,1423243,1424584,1425637,1425943,1430865
Q9NVI7	0	chr1	+	1447542	1470065	1447853,1451468,1452792,1453155,1454370,1455686,1455997,1458279,1458947,1459344,1459777,1460671,1461911,1463242,1464711	1451392,1452691,1453096,1454301,1455521,1455928,1458124,1458891,1459219,1459653,1460620,1461841,1463075,1464603,1469306
Q5SV17	0	chr1	-	1470158	1476004	1470887,1471177,1475170	1470969,1475064,1475670
Q9NP77	0	chr1	-	1477053	1510243	1477547,1479367,1480382,1500296	1479249,1480243,1500153,1509858
F2Z333	0	chr1	-	1533392	1535515		
Q96AX9	0	chr1	+	1550880	1565985	1551013,1551994,1559079,1559325,1560281,1560565,1560808,1561033,1562134,1562379,1562587,1562824,1563209,1563559,1563779,1564102,1564691,1564946,1565084	1551888,1558811,1559154,1560175,1560371,1560666,1560926,1562030,1562217,1562454,1562676,1563053,1563399,1563653,1563869,1564513,1564765,1565019,1565672
O75900	0	chr1	+	1567552	1570030	1567753,1568292,1568499,1568734,1569291,1569478,1569707	1568162,1568360,1568567,1569127,1569368,1569581,1569827
P21127	0	chr1	-	1570601	1590465	1571218,1571488,1571843,1572160,1572366,1572564,1572875,1573245,1573952,1575813,1576474,1577181,1577362,1577869,1580623,1586938,1588948	1571299,1571695,1572044,1572259,1572443,1572770,1573124,1573862,1575638,1576409,1577023,1577267,1577747,1580487,1586823,1588825,1590375
P0CK96	0	chr1	-	1592939	1624234	1594840,1595855,1597458,1599911,1601175,1601590,1603068,1607029,1607638,1608285,1622832	1594842,1595868,1599766,1601103,1601537,1602948,1606902,1607503,1607817,1622415,1623888
Q9UQ88	0	chr1	-	1633818	1655796	1634438,1634708,1635063,1635379,1635585,1635783,1636094,1636464,1637171,1639023,1639684,1640391,1640572,1641079,1643839,1647917,1650894,1653150,1654270	1634519,1634915,1635263,1635478,1635662,1635989,1636343,1637081,1638848,1639619,1640233,1640477,1640957,1643703,1647785,1650767,1653035,1654147,1655697
O95544	0	chr1	-	1682671	1709909	1684499,1685088,1685647,1685822,1686137,1686915,1687782,1688047,1688749,1693474,1696885	1685006,1685490,1685723,1685983,1686813,1687697,1687942,1688620,1693391,1696667,1709728
P62873	0	chr1	-	1716725	1822526	1718492,1718876,1720708,1722035,1724750,1736020,1737977,1747301,1749314,1756938,1770677	1718761,1720492,1721834,1724684,1735858,1737914,1747195,1749276,1756836,1770629,1822259
Q8TD86	0	chr1	+	1846699	1848735	1846746,1847174,1848054,1848335,1848513	1847124,1847880,1848191,1848413,1848586
Q8NDY8	0	chr1	-	1849030	1850718	1849601,1849870,1850373,1850527	1849692,1850332,1850484,1850621
A0A804HLA9	0	chr1	-	1853396	1935225	1853827,1854162,1854584,1854938,1855368,1855959,1857377,1857786,1857951,1858200,1858467,1859185,1860321,1861775,1870427,1871206,1871842,1873595,1875891,1877878,1878493,1887289,1888223,1890648,1891469,1895306,1896500,1897965,1900272,1902255,1903521,1904486,1905637,1916929,1918474,1920094,1920412,1922414	1854028,1854424,1854806,1855214,1855830,1857222,1857667,1857896,1858091,1858333,1859046,1860223,1861499,1870294,1871033,1871755,1873467,1875770,1877756,1878429,1887130,1888059,1890559,1891403,1895188,1896327,1897810,1900074,1902098,1903419,1904376,1905464,1916825,1918376,1919951,1920328,1922329,1935140
O14764	0	chr1	+	1950784	1962197	1950930,1956493,1956840,1957177,1959098,1959731,1960705,1961201	1956381,1956773,1956957,1959016,1959594,1960550,1960990,1961422
Q05513	0	chr1	+	1981850	2116834	1982140,1987001,1988012,1991030,2066786,2075780,2077547,2080363,2082417,2087531,2101043,2103629,2103827,2105455,2106272,2106752,2116137	1986880,1987923,1990980,2066701,2075649,2077466,2080311,2082229,2087434,2100957,2103494,2103740,2105336,2106193,2106663,2116022,2116361
Q6NZ36	0	chr1	-	2120987	2126211	2121220,2125349,2125572	2125078,2125437,2126127
P12755	0	chr1	+	2159758	2241652	2161174,2234542,2234839,2235541,2236024,2237689	2234417,2234724,2235279,2235732,2237459,2238016
Q5T089	0	chr1	-	2252692	2322993	2253018,2255582,2267987,2268289,2289037,2290154,2304030,2305996,2316504,2317336,2318968,2319776,2321435	2255536,2267908,2268156,2288871,2290031,2303920,2305900,2316417,2317246,2318858,2319678,2321364,2322897
Q5T094	0	chr1	+	2323280	2336875	2323397,2327310,2328659,2330953,2332374,2333781	2327223,2328555,2330854,2332296,2333646,2334474
O60683	0	chr1	-	2335413	2344003	2337273,2338058,2338334,2340297,2341890	2337923,2338159,2339891,2341810,2343830
O75038	0	chr1	+	2407728	2436971	2408151,2410061,2411416,2411751,2416057,2418439,2418815,2419157,2420817,2421306,2422774,2426387,2427009,2428143,2428449,2429048,2430086,2430267,2430669,2431159,2433848	2409915,2411173,2411622,2415887,2418346,2418612,2419037,2420646,2421199,2422631,2426295,2426927,2428046,2428267,2428941,2429962,2430183,2430523,2431080,2433551,2435361
Q9NVE7	0	chr1	-	2439976	2458035	2440499,2441369,2441596,2442221,2442826,2443122,2444478,2445528,2445905,2447156,2449703,2450036,2450763,2451393,2451853,2452345,2452754,2453239	2441301,2441496,2442117,2442777,2443067,2444327,2445441,2445793,2447001,2449603,2449955,2450582,2451240,2451761,2452162,2452540,2453157,2457903
Q5TA89	0	chr1	-	2460184	2461702	2461188,2461450	2461285,2461550
Q92956	0	chr1	+	2487810	2495268	2488172,2489273,2489907,2491417,2492153,2493254,2494335	2489165,2489782,2491262,2492063,2493112,2494304,2494587
Q8TBF2	0	chr1	+	2518216	2522907	2518387,2518734,2519231,2519892,2520064,2520479	2518530,2519180,2519829,2519989,2520361,2520849
Q495T6	0	chr1	-	2522078	2564455	2522528,2523072,2523466,2524159,2524405,2525372,2525882,2526332,2526798,2527546,2528128,2529739,2530229,2535412,2535720,2537062,2537805,2538508,2540858,2541270,2542779,2543643,2560960	2522996,2523371,2524094,2524272,2525253,2525824,2526229,2526715,2527448,2528000,2529646,2530093,2535323,2535586,2536997,2537687,2538413,2540778,2541109,2542720,2543566,2560770,2564305
A0A1C7CYW7	0	chr1	-	2568425	2718258	2573334,2575917,2577002,2700320,2702588,2704271,2706911,2717433	2575703,2576732,2700154,2702384,2704046,2706068,2716609,2718142
Q8TDY3	0	chr1	+	2938031	2939467		
Q9HAZ2	0	chr1	+	2985767	3355185	2985860,3103038,3160701,3301850,3313157,3319562,3321450,3322212,3329364,3331211,3334561,3335308,3342314,3342789,3347672,3348704	3102689,3160651,3301716,3313055,3319355,3321303,3322059,3327948,3331124,3334392,3335231,3342145,3342615,3347436,3348530,3350241
Q5VV41	0	chr1	+	3371229	3397677	3371375,3380236,3382757,3383901,3385500,3386157,3389794,3390086,3391346,3392626,3394590,3395176,3396154,3396477	3379630,3382712,3383732,3385444,3385997,3389642,3389957,3391272,3392534,3394439,3394988,3396081,3396376,3397012
O75095	0	chr1	-	3404515	3528072	3407153,3407523,3409331,3410463,3410688,3411063,3411305,3412582,3413347,3413683,3413925,3415063,3415390,3415830,3416280,3416488,3417328,3417658,3417872,3418485,3421906,3422120,3422800,3424487,3425253,3425809,3426556,3427466,3428251,3428692,3431236,3432091,3440810,3496493,3512011,3519164	3407476,3409203,3410335,3410560,3410935,3411177,3412454,3413219,3413552,3413797,3414935,3415262,3415702,3416152,3416360,3417197,3417530,3417741,3418360,3421772,3421986,3422672,3424359,3425122,3425639,3426434,3427347,3428114,3428570,3431114,3431966,3440688,3496389,3511902,3519030,3527702
Q5T0D9	0	chr1	+	3541579	3546691	3541837,3542079,3542453,3544217	3541988,3542277,3544064,3544973
Q9P2S5	0	chr1	-	3547334	3566667	3547681,3548221,3548902,3550067,3551638,3551858,3552594,3553662,3555386,3563346,3564124	3548030,3548777,3549962,3551561,3551724,3552508,3553559,3555314,3563230,3563972,3566495
O15350	0	chr1	+	3569080	3652765	3569205,3598994,3599744,3624355,3638771,3640033,3643788,3644334,3644781,3646012,3646712,3647629,3648120	3598897,3599624,3624113,3638585,3639918,3643679,3644192,3644693,3645891,3646564,3647491,3648027,3649311
Q2M243	0	chr1	+	3669014	3688209	3669363,3670805,3672131,3673454,3677994,3679276,3680038,3680400,3683176,3684009,3686451	3670682,3672021,3673297,3677845,3679184,3679672,3680270,3683099,3683797,3686347,3687965
M4WDD3	0	chr1	+	3689313	3692520	3689352,3689745,3692047	3689627,3691863,3692359
Q8N1G4	0	chr1	-	3695123	3713062	3697900,3698165,3699327,3700675,3701767,3703874	3698076,3699225,3700560,3701651,3703413,3712426
O60308	0	chr1	-	3728650	3773775	3732081,3732934,3739805,3740126,3742430,3743000,3743308,3745937,3746561,3747786,3750599,3751656,3753256,3754083,3755683,3756340,3761547,3761915,3764177,3765345,3768985	3732844,3739738,3739988,3742322,3742934,3743272,3745830,3746355,3747610,3750426,3751489,3753059,3753856,3755528,3756172,3761471,3761853,3764039,3765172,3768859,3773453
O76075	0	chr1	+	3774040	3801993	3774281,3775408,3782564,3784617,3786339,3789136	3775282,3782376,3784538,3786169,3789036,3800071
Q8IYL3	0	chr1	-	3805697	3816836	3806637,3807621,3809560	3807133,3809447,3816736
Q9UKB5	0	chr1	+	4714669	4852594	4715514,4772759,4830000,4832585,4834618	4771960,4829913,4832340,4834487,4842605
O75161	0	chr1	-	5922871	6052485	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387	5923950,5924398,5925162,5926433,5927090,5927800,5933312,5934531,5934934,5937153,5940174,5947346,5950928,5964677,5965352,5965692,5967175,5969212,5987709,5993207,6007164,6008130,6012760,6021854,6027359,6029147,6038330,6046215,6052304
Q13303	0	chr1	+	6105948	6161240	6106243,6111814,6132858,6133830,6142334,6145308,6147571,6149111,6150535,6151367,6154545,6155503,6155684,6156816,6157417	6111571,6132815,6133793,6142255,6145264,6147527,6149068,6150449,6151323,6154460,6155383,6155590,6156696,6157329,6158545
Q8TDI0	0	chr1	-	6161847	6240381	6165487,6166347,6166569,6166839,6170050,6170586,6171943,6172337,6173058,6181297,6181633,6184167,6184721,6185293,6185672,6185918,6186806,6188278,6188669,6189129,6190388,6191808,6194319,6194919,6195463,6196698,6196925,6202388,6202665,6203991,6204215,6206483,6206931,6209135,6209472,6211215,6212596,6214958,6215777,6219575,6228337	6166294,6166455,6166676,6169855,6170454,6171835,6172200,6172969,6181165,6181554,6184008,6184577,6185160,6185584,6185826,6186632,6188106,6188559,6188898,6190264,6191691,6194188,6194778,6195290,6196577,6196788,6202188,6202474,6203883,6204084,6206272,6206725,6208914,6209306,6211092,6212472,6214720,6215659,6219396,6228210,6240005
P35268	0	chr1	-	6245080	6259655	6246876,6253114,6257816	6252990,6257712,6259622
Q6ZRF8	0	chr1	+	6266179	6281359	6266362,6266786,6267571,6269085,6269256,6269403,6269599,6270030,6270355,6270498,6270998,6271178,6272113,6272476,6272793,6273243,6278429	6266596,6267439,6268941,6269175,6269328,6269474,6269984,6270283,6270430,6270930,6271081,6271927,6272291,6272742,6273126,6278349,6279296
O60725	0	chr1	-	6281253	6296024	6285322,6292179,6293703,6295034	6291962,6293534,6294946,6295777
Q5TGS1	0	chr1	+	6304239	6305638	6304301,6304506,6304689	6304411,6304608,6305170
Q6NV75	0	chr1	-	6307413	6321158	6310063,6310684,6311590,6314207,6315074	6310500,6311398,6313778,6314610,6320885
O00154	0	chr1	-	6324332	6453827	6324755,6341346,6355040,6378638,6387473,6393628,6399649,6409926	6341162,6354924,6378552,6387359,6393537,6399493,6409809,6453317
Q9Y543	0	chr1	-	6475292	6479979	6479213,6479400,6479762	6479301,6479667,6479836
B1AK53	0	chr1	+	6484836	6521004	6485309,6488479,6500500,6500868,6501125,6504742,6505995,6509151,6511808,6512156,6517323,6517432	6488286,6500314,6500686,6500994,6504541,6505724,6508701,6511663,6511893,6517244,6517421,6520059
Q93038	0	chr1	-	6520846	6526233	6521822,6522234,6522726,6523030,6523187,6524513,6524779,6525282,6525620	6522054,6522689,6522923,6523132,6524435,6524612,6525148,6525500,6526129
O94827	0	chr1	-	6527182	6551727	6527632,6528646,6529301,6529510,6529736,6530415,6530703,6530944,6531160,6531697,6531868,6532682,6533234,6533514,6534224,6534647,6535198,6535582,6536096,6537718	6527885,6529102,6529395,6529604,6530296,6530566,6530795,6531050,6531548,6531818,6532587,6533046,6533311,6534073,6534511,6535107,6535522,6535991,6537589,6551697
Q5SY16	0	chr1	-	6581407	6614573	6586063,6586889,6589231,6592139,6592820,6593501,6601987,6604982,6605240,6609758,6610675	6586756,6589054,6592028,6592523,6593340,6601890,6604886,6605105,6609631,6610456,6614167
Q7RTX1	0	chr1	+	6615367	6639815	6615624,6631275,6635452,6636687,6637130	6630969,6634691,6636475,6637010,6638713
P10074	0	chr1	+	6640054	6649340	6640196,6641359,6642359,6646090,6646847,6647351,6647692,6648256,6648502,6648904	6640601,6642118,6645979,6646755,6647265,6647538,6648120,6648338,6648816,6648976
Q9UJP4	0	chr1	-	6650784	6662929	6653718,6655617,6659512	6655545,6659107,6661857
Q86YI8	0	chr1	+	6673791	6684090	6674165,6676918,6680397	6676817,6679863,6681471
Q8WTV1	0	chr1	+	6684928	6693622	6685014,6685352,6688751,6690413,6692555	6685210,6688559,6690348,6692451,6692856
Q9NVH1	0	chr1	-	6694230	6761876	6695760,6696306,6697400,6697564,6698424,6700117,6704734,6705186,6706038,6711662,6713011,6714099,6727870,6738527,6741097	6696177,6697258,6697507,6698355,6699962,6704618,6705101,6705849,6711589,6712889,6713971,6727769,6738454,6740968,6761789
Q9Y6Y1	0	chr1	+	6845514	7829766	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728	6880241,6885152,7151364,7309551,7527890,7700460,7721786,7723413,7730971,7737659,7792508,7796404,7796991,7797315,7798019,7804895,7805905,7807770,7811259,7812519,7815698,7826519
Q6FGG2	0	chr1	+	7831356	7841492	7831445,7833571,7837378,7838229	7833502,7837220,7838178,7839686
P56645	0	chr1	+	7844351	7905237	7844436,7845065,7845646,7846896,7848306,7854068,7858733,7861251,7863213,7863908,7869058,7870081,7870648,7879480,7880299,7880700,7886770,7887875,7890221,7896005,7897209	7844714,7845501,7846781,7848105,7854017,7858585,7861173,7863107,7863752,7868953,7869953,7870498,7879345,7880175,7880527,7886540,7887178,7889894,7895822,7897059,7902732
O95399	0	chr1	-	7907672	7913125	7907942,7909743,7910982	7909700,7910872,7912961
Q07011	0	chr1	-	7975931	8000899	7980983,7993356,7995203,7997816,7998390,7998888,8000138	7993222,7995073,7997750,7998253,7998781,7999955,8000844
V9HWC2	0	chr1	+	8021771	8045565	8021853,8022935,8025485,8029464,8031023,8037798	8022823,8025384,8029405,8030954,8037712,8044954
Q9UJM3	0	chr1	-	8071787	8086369	8074456,8075444,8075752	8075368,8075555,8086218
Q9Y2W3	0	chr1	+	8378174	8404225	8378246,8384786,8385450,8386102,8390996,8395650,8398052,8399758	8384366,8385358,8385878,8390269,8395497,8397876,8399553,8403807
Q9P2R6	0	chr1	-	8412464	8877699	8415180,8415659,8416306,8418976,8420046,8421550,8421936,8422904,8424315,8424898,8426034,8482867,8526083,8555222,8557589,8568734,8601377,8616630,8617582,8674745,8684439,8716500	8415479,8416160,8418256,8419824,8420172,8421823,8422743,8424116,8424806,8425872,8482787,8525985,8555123,8557465,8568686,8601273,8616534,8617477,8674620,8684369,8716032,8877219
P06733	0	chr1	-	8921059	8938745	8921488,8923004,8923402,8924151,8925541,8926560,8927309,8928116,8930569,8932045,8934976	8922946,8923294,8923950,8925344,8926338,8927176,8928047,8930511,8931950,8934883,8938639
P23280	0	chr1	+	9005927	9035151	9006024,9009501,9017344,9019061,9022715,9027875,9031040	9009322,9017196,9018969,9022646,9027718,9030926,9034681
Q6PXP3	0	chr1	-	9063032	9086482	9063577,9064938,9067444,9070303,9073694,9074927,9075301,9078434,9079392,9083137,9085133	9064811,9067369,9070202,9073584,9074740,9075176,9078282,9079268,9082977,9085035,9086354
P22732	0	chr1	-	9095165	9129694	9097848,9098083,9098565,9098988,9099721,9100046,9100248,9101996,9107793,9117667,9118309	9097956,9098490,9098887,9099611,9099859,9100123,9101844,9107669,9117507,9118211,9129563
Q5UAW9	0	chr1	-	9160364	9189161	9164693,9165739,9171548	9165545,9171335,9188704
O95479	0	chr1	+	9294833	9331396	9295125,9305620,9307142,9322387	9304984,9307025,9322118,9323568
Q96BD6	0	chr1	+	9352953	9429591	9353130,9416644	9415802,9427507
Q9BSK2	0	chr1	+	9599524	9645231	9599806,9613863,9627419,9630416,9633470,9640292	9613684,9627342,9630316,9633404,9640012,9642357
Q5SNT2	0	chr1	+	9648969	9674935	9649101,9656068,9657111,9658683,9661512,9662330,9667847,9669969,9670863,9671948	9655948,9656917,9658507,9661163,9662127,9667615,9669898,9670564,9671811,9673044
O00329	0	chr1	+	9711789	9789172	9711860,9751629,9770654,9775827,9776136,9776677,9777166,9777684,9778973,9780075,9780300,9780719,9780967,9781306,9781645,9781918,9782211,9782414,9782664,9783350,9784150,9784479,9784994	9751525,9770482,9775599,9775907,9776498,9777017,9777595,9778752,9779979,9780170,9780669,9780800,9781185,9781502,9781819,9782033,9782302,9782586,9783183,9784027,9784334,9784862,9786967
O94985	0	chr1	-	9788984	9884023	9790763,9791448,9791954,9793604,9794200,9795232,9795673,9796100,9797612,9801314,9804063,9804701,9809704,9809971,9811739,9815367,9816568,9833452	9791264,9791819,9793459,9794030,9795006,9795525,9795943,9797556,9801152,9803942,9804453,9809519,9809822,9811531,9815172,9816539,9833330,9883701
Q9NSA3	0	chr1	-	9908334	9970327	9910834,9931335,9932146,9938047,9943796	9931245,9932027,9937963,9943763,9970153
Q8WZA0	0	chr1	-	9986351	10003449	9990515,9992030,9992956,9994918,9995685,9996685,10002840	9991949,9992861,9994820,9995550,9996577,10002682,10003307
Q9HAN9	0	chr1	+	10003533	10045556	10003573,10032246,10035833,10041228	10032076,10035650,10041089,10042359
Q96R05	0	chr1	+	10057286	10076079	10057389,10067806,10068332	10067628,10068231,10075840
O95155	0	chr1	+	10093016	10241297	10093752,10132272,10155654,10161253,10163150,10165802,10166641,10177658,10179671,10182134,10186935,10189506,10190674,10190871,10192540,10195244,10197263,10205097,10207148,10209340,10211619,10218540,10221344,10228328,10231387,10238876,10239620	10132086,10155519,10161166,10163006,10165574,10166255,10177517,10179571,10182020,10186852,10189450,10190558,10190773,10192427,10195046,10197125,10204998,10207021,10209242,10211384,10218414,10221200,10228194,10231196,10238702,10239474,10239953
O60333	0	chr1	+	10270628	10441661	10270936,10292492,10316381,10318730,10322028,10327616,10328321,10331637,10332364,10333089,10335561,10336457,10338186,10339196,10342591,10351219,10352180,10355223,10355824,10356723,10357135,10357304,10380194,10381915,10384120,10384953,10386417,10394696,10396800,10397261,10397591,10399917,10402226,10403345,10406011,10407885,10408791,10412794,10421101,10421883,10423402,10425303,10425706,10428596,10431320,10434523,10435104,10435431	10292308,10316305,10318551,10321963,10327438,10328210,10331560,10332299,10333072,10335486,10336379,10338044,10339155,10342380,10351140,10352105,10355144,10355718,10356640,10356955,10357232,10380101,10381767,10383942,10384816,10386169,10394578,10396715,10397132,10397429,10399827,10402108,10403290,10405903,10407819,10408707,10412689,10420987,10421750,10423341,10425158,10425467,10428525,10431199,10434374,10434912,10435313,10436603
P52209	0	chr1	+	10459121	10480568	10459182,10459761,10460629,10463193,10464336,10468197,10471609,10473308,10477174,10477566,10478982,10479596	10459686,10460450,10463128,10464218,10468128,10471475,10473119,10477044,10477433,10478883,10479474,10479687
Q8N2Z9	0	chr1	+	10490490	10502865	10490625,10494022,10494747,10500470	10493899,10494714,10500404,10502322
none	0	chr1	+	10490492	10511468	10490625,10494022,10494747,10500470,10502498	10493899,10494714,10500404,10502322,10511434
O00230	0	chr1	+	10510088	10512055	10510379	10511434
O00273	0	chr1	-	10516579	10532586	10521759,10523266,10523677,10527389,10529395	10523115,10523488,10527247,10529234,10532380
O75381	0	chr1	+	10535007	10690815	10535059,10555378,10596354,10659423,10678474,10683178,10684494,10687420	10555331,10596270,10659295,10678389,10683076,10684397,10687329,10689588
Q86V15	0	chr1	-	10696661	10856703	10700116,10703057,10703368,10705145,10706383,10708196,10709249,10709494,10710812,10711133,10714275,10714648,10715870,10716793,10718633,10720593,10725628,10753969,10765601,10820914	10702916,10703217,10704974,10706185,10707858,10709127,10709340,10710749,10710998,10713434,10714476,10715706,10716703,10718565,10719759,10725140,10753931,10765549,10820758,10856621
G8JLG8	0	chr1	-	11006532	11042133	11006798,11008901,11009871,11014199,11015243,11017164,11017810,11018809,11024328,11026539,11030146,11036313	11007700,11009681,11014076,11015047,11017080,11017673,11018771,11024185,11026415,11030027,11036213,11042069
Q13148	0	chr1	+	11072711	11085549	11072800,11074022,11077064,11078930,11080656	11073773,11076901,11078790,11080486,11082181
O00187	0	chr1	-	11086580	11107296	11087705,11090307,11090939,11094963,11097868,11103079,11103592,11105596,11106790,11107176	11090233,11090805,11094885,11097750,11102932,11103396,11105465,11106613,11106948,11107260
P19623	0	chr1	-	11114646	11120075	11114942,11115141,11115983,11116151,11116814,11118949,11119402	11115019,11115838,11116068,11116661,11118857,11119282,11119834
Q01780	0	chr1	-	11126675	11159926	11126805,11128141,11128763,11129787,11131030,11132228,11134065,11134383,11137005,11137500,11137708,11139879,11140606,11140969,11141295,11142935,11147648,11147967,11148255,11150725,11151236,11151654,11155938,11158213	11128065,11128702,11129616,11130957,11132144,11133991,11134288,11136899,11137422,11137658,11139768,11140556,11140821,11141139,11142745,11147505,11147857,11148180,11150611,11151071,11151550,11155815,11158077,11159778
